,subjid,condition,order,gamble_order_exp,rewA,probA,rewB,probB,gambleType,choicenum,timepressure,choice,RT_choice,gambleAposition,keyPressed,payoffPos,Condition,learning
1,110,1,A,1,9,91,12,87,sml_TO,2,0,B,3.174298441,posLeft,p,top,Negative,Explicit
2,110,1,A,2,31,97,57,90,sml_prob_diff,61,0,A,3.013985986,posRight,p,top,Negative,Explicit
3,110,1,A,3,10,12,20,2,BL,101,0,A,3.873695083,posRight,p,top,Negative,Explicit
4,110,1,A,4,56,43,85,13,lrg_TO,47,0,A,1.055984334,posLeft,q,top,Negative,Explicit
5,110,1,A,5,6,19,16,9,BL,107,0,A,1.848300087,posLeft,q,top,Negative,Explicit
6,110,1,A,6,8,94,37,61,lrg_TO,26,0,A,1.29532261,posLeft,q,top,Negative,Explicit
7,110,1,A,7,6,74,34,47,same_EV,60,0,A,1.174947982,posRight,p,top,Negative,Explicit
8,110,1,A,8,60,41,61,33,sml_TO,19,0,A,0.941358573,posRight,p,top,Negative,Explicit
9,110,1,A,9,60,44,87,14,lrg_TO,48,0,A,1.870013689,posRight,p,top,Negative,Explicit
10,110,1,A,10,52,49,54,45,sml_TO,13,0,A,1.895722863,posLeft,q,top,Negative,Explicit
11,110,1,A,11,61,45,87,18,same_EV,53,0,A,1.76095405,posLeft,q,top,Negative,Explicit
12,110,1,A,12,12,87,16,85,sml_TO,4,0,A,2.942401083,posLeft,q,top,Negative,Explicit
13,110,1,A,13,9,100,12,80,certainty,123,0,A,1.508650779,posLeft,q,top,Negative,Explicit
14,110,1,A,14,67,5,61,28,sml_pay_diff,79,0,B,2.89396162,posRight,q,top,Negative,Explicit
15,110,1,A,15,14,13,13,36,sml_pay_diff,74,0,B,2.359777792,posLeft,p,top,Negative,Explicit
16,110,1,A,16,81,98,90,89,TR,90,0,A,1.665624157,posRight,p,top,Negative,Explicit
17,110,1,A,1,9,91,12,87,sml_TO,2,1,B,0.852905471,posRight,q,top,Negative,Explicit
18,110,1,A,2,31,97,57,90,sml_prob_diff,61,1,A,1.062483716,posLeft,q,top,Negative,Explicit
19,110,1,A,3,10,12,20,2,BL,101,1,A,0.620837616,posRight,p,top,Negative,Explicit
20,110,1,A,4,56,43,85,13,lrg_TO,47,1,A,0.632416461,posLeft,q,top,Negative,Explicit
21,110,1,A,5,6,19,16,9,BL,107,1,A,0.759758591,posLeft,q,top,Negative,Explicit
22,110,1,A,6,8,94,37,61,lrg_TO,26,1,A,0.631048188,posLeft,q,top,Negative,Explicit
23,110,1,A,7,6,74,34,47,same_EV,60,1,A,1.029726263,posLeft,q,top,Negative,Explicit
24,110,1,A,8,60,41,61,33,sml_TO,19,1,A,1.104449289,posLeft,q,top,Negative,Explicit
25,110,1,A,9,60,44,87,14,lrg_TO,48,1,A,0.712196107,posRight,p,top,Negative,Explicit
26,110,1,A,10,52,49,54,45,sml_TO,13,1,A,0.901642557,posRight,p,top,Negative,Explicit
27,110,1,A,11,61,45,87,18,same_EV,53,1,A,0.726336368,posRight,p,top,Negative,Explicit
28,110,1,A,12,12,87,16,85,sml_TO,4,1,B,0.659287988,posRight,q,top,Negative,Explicit
29,110,1,A,13,9,100,12,80,certainty,123,1,A,0.666973229,posRight,p,top,Negative,Explicit
30,110,1,A,14,67,5,61,28,sml_pay_diff,79,1,B,0.668142535,posRight,q,top,Negative,Explicit
31,110,1,A,15,14,13,13,36,sml_pay_diff,74,1,B,1.068548415,posRight,q,top,Negative,Explicit
32,110,1,A,16,81,98,90,89,TR,90,1,A,0.6720272,posLeft,q,top,Negative,Explicit
33,110,1,A,17,9,91,36,61,lrg_TO,27,0,A,1.123929226,posRight,p,top,Negative,Explicit
34,110,1,A,18,6,92,15,86,TL,91,0,A,0.936543297,posRight,p,top,Negative,Explicit
35,110,1,A,19,89,95,98,85,TR,89,0,A,0.93197135,posRight,p,top,Negative,Explicit
36,110,1,A,20,77,24,81,21,sml_TO,23,0,A,1.395206242,posLeft,q,top,Negative,Explicit
37,110,1,A,21,2,91,12,83,TL,94,0,A,0.916758453,posLeft,q,top,Negative,Explicit
38,110,1,A,22,34,63,39,60,sml_TO,9,0,A,1.296449872,posRight,p,top,Negative,Explicit
39,110,1,A,23,36,19,60,18,sml_prob_diff,70,0,A,1.076934842,posRight,p,top,Negative,Explicit
40,110,1,A,24,55,45,83,16,lrg_TO,44,0,A,1.648672199,posLeft,q,top,Negative,Explicit
41,110,1,A,25,68,33,74,32,sml_TO,21,0,A,0.89918675,posRight,p,top,Negative,Explicit
42,110,1,A,26,64,42,91,72,dominated,125,0,B,0.616614276,posRight,q,top,Negative,Explicit
43,110,1,A,27,87,12,94,6,sml_TO,24,0,A,1.022512452,posLeft,q,top,Negative,Explicit
44,110,1,A,28,22,78,23,77,sml_TO,6,0,A,2.523145274,posRight,p,top,Negative,Explicit
45,110,1,A,29,16,84,21,78,sml_TO,5,0,A,1.437001319,posLeft,q,top,Negative,Explicit
46,110,1,A,30,16,85,41,58,lrg_TO,28,0,A,1.673811617,posRight,p,top,Negative,Explicit
47,110,1,A,31,6,94,16,86,TL,99,0,A,1.111009255,posLeft,q,top,Negative,Explicit
48,110,1,A,32,2,18,11,8,BL,108,0,A,1.50364117,posLeft,q,top,Negative,Explicit
49,110,1,A,17,9,91,36,61,lrg_TO,27,1,A,0.534932025,posRight,p,top,Negative,Explicit
50,110,1,A,18,6,92,15,86,TL,91,1,A,0.720304774,posLeft,q,top,Negative,Explicit
51,110,1,A,19,89,95,98,85,TR,89,1,A,0.805979617,posRight,p,top,Negative,Explicit
52,110,1,A,20,77,24,81,21,sml_TO,23,1,A,0.705964222,posLeft,q,top,Negative,Explicit
53,110,1,A,21,2,91,12,83,TL,94,1,B,0.790843526,posRight,q,top,Negative,Explicit
54,110,1,A,22,34,63,39,60,sml_TO,9,1,A,1.066113464,posLeft,q,top,Negative,Explicit
55,110,1,A,23,36,19,60,18,sml_prob_diff,70,1,A,0.937416304,posRight,p,top,Negative,Explicit
56,110,1,A,24,55,45,83,16,lrg_TO,44,1,A,1.513752754,posLeft,q,top,Negative,Explicit
57,110,1,A,25,68,33,74,32,sml_TO,21,1,A,0.817569386,posLeft,q,top,Negative,Explicit
58,110,1,A,26,64,42,91,72,dominated,125,1,B,0.751492007,posRight,q,top,Negative,Explicit
59,110,1,A,27,87,12,94,6,sml_TO,24,1,A,0.745340901,posLeft,q,top,Negative,Explicit
60,110,1,A,28,22,78,23,77,sml_TO,6,1,A,0.505139881,posLeft,q,top,Negative,Explicit
61,110,1,A,29,16,84,21,78,sml_TO,5,1,A,0.688913277,posLeft,q,top,Negative,Explicit
62,110,1,A,30,16,85,41,58,lrg_TO,28,1,A,0.51018988,posLeft,q,top,Negative,Explicit
63,110,1,A,31,6,94,16,86,TL,99,1,A,0.570362462,posLeft,q,top,Negative,Explicit
64,110,1,A,32,2,18,11,8,BL,108,1,A,0.783056649,posRight,p,top,Negative,Explicit
65,110,1,A,33,35,39,63,10,same_EV,55,0,A,3.857505558,posLeft,q,top,Negative,Explicit
66,110,1,A,34,44,57,74,27,lrg_TO,39,0,A,2.399092232,posLeft,q,top,Negative,Explicit
67,110,1,A,35,75,100,98,80,certainty,121,0,A,0.85385429,posLeft,q,top,Negative,Explicit
68,110,1,A,36,80,92,90,82,TR,81,0,B,5.071246559,posLeft,p,top,Negative,Explicit
69,110,1,A,37,23,76,50,49,lrg_TO,31,0,A,1.617106563,posRight,p,top,Negative,Explicit
70,110,1,A,38,37,65,65,36,lrg_TO,36,0,A,1.062125508,posRight,p,top,Negative,Explicit
71,110,1,A,39,85,98,95,89,TR,87,0,A,1.191659259,posLeft,q,top,Negative,Explicit
72,110,1,A,40,85,16,94,7,BR,117,0,A,0.87689975,posLeft,q,top,Negative,Explicit
73,110,1,A,41,27,69,52,49,lrg_TO,33,0,A,1.290620557,posRight,p,top,Negative,Explicit
74,110,1,A,42,45,55,71,27,lrg_TO,42,0,A,1.225078834,posLeft,q,top,Negative,Explicit
75,110,1,A,43,5,13,14,3,BL,104,0,A,1.415321816,posLeft,q,top,Negative,Explicit
76,110,1,A,44,86,13,95,4,BR,120,0,A,0.787867291,posLeft,q,top,Negative,Explicit
77,110,1,A,45,23,31,21,53,sml_pay_diff,78,0,B,1.04268265,posLeft,p,top,Negative,Explicit
78,110,1,A,46,23,79,30,70,sml_TO,7,0,A,1.091126086,posLeft,q,top,Negative,Explicit
79,110,1,A,47,76,53,70,77,sml_pay_diff,80,0,B,1.070505314,posRight,q,top,Negative,Explicit
80,110,1,A,48,30,68,36,61,sml_TO,8,0,A,0.927859908,posLeft,q,top,Negative,Explicit
81,110,1,A,33,35,39,63,10,same_EV,55,1,A,0.727590094,posLeft,q,top,Negative,Explicit
82,110,1,A,34,44,57,74,27,lrg_TO,39,1,A,0.589125983,posLeft,q,top,Negative,Explicit
83,110,1,A,35,75,100,98,80,certainty,121,1,B,0.588413872,posRight,q,top,Negative,Explicit
84,110,1,A,36,80,92,90,82,TR,81,1,B,0.701411477,posRight,q,top,Negative,Explicit
85,110,1,A,37,23,76,50,49,lrg_TO,31,1,A,0.488053182,posLeft,q,top,Negative,Explicit
86,110,1,A,38,37,65,65,36,lrg_TO,36,1,A,1.03848116,posRight,p,top,Negative,Explicit
87,110,1,A,39,85,98,95,89,TR,87,1,A,0.785227745,posRight,p,top,Negative,Explicit
88,110,1,A,40,85,16,94,7,BR,117,1,A,0.70562025,posRight,p,top,Negative,Explicit
89,110,1,A,41,27,69,52,49,lrg_TO,33,1,A,0.735903026,posRight,p,top,Negative,Explicit
90,110,1,A,42,45,55,71,27,lrg_TO,42,1,B,0.589325282,posLeft,p,top,Negative,Explicit
91,110,1,A,43,5,13,14,3,BL,104,1,A,0.544929724,posRight,p,top,Negative,Explicit
92,110,1,A,44,86,13,95,4,BR,120,1,A,0.629929865,posLeft,q,top,Negative,Explicit
93,110,1,A,45,23,31,21,53,sml_pay_diff,78,1,B,0.766553609,posLeft,p,top,Negative,Explicit
94,110,1,A,46,23,79,30,70,sml_TO,7,1,A,0.874269142,posRight,p,top,Negative,Explicit
