,subjid,condition,order,gamble_order_exp,rewA,probA,rewB,probB,gambleType,choicenum,timepressure,choice,RT_choice,gambleAposition,keyPressed,payoffPos,Condition,learning
1025,114,1,A,1,49,53,74,26,lrg_TO,43,0,A,2.660771323,posLeft,q,top,Negative,Explicit
1026,114,1,A,2,34,36,62,33,sml_prob_diff,64,0,B,2.838724468,posLeft,p,top,Negative,Explicit
1027,114,1,A,3,46,57,74,27,same_EV,54,0,A,3.491013966,posLeft,q,top,Negative,Explicit
1028,114,1,A,4,83,15,93,6,BR,115,0,B,2.908590282,posRight,q,top,Negative,Explicit
1029,114,1,A,5,62,34,88,13,lrg_TO,49,0,A,2.818264795,posLeft,q,top,Negative,Explicit
1030,114,1,A,6,84,15,93,6,BR,116,0,A,4.381609667,posLeft,q,top,Negative,Explicit
1031,114,1,A,7,35,32,64,58,dominated,128,0,B,2.826358946,posLeft,p,top,Negative,Explicit
1032,114,1,A,8,6,99,16,85,TL,97,0,B,3.838141798,posRight,q,top,Negative,Explicit
1033,114,1,A,9,9,100,12,80,certainty,123,0,B,3.895432196,posRight,q,top,Negative,Explicit
1034,114,1,A,10,89,15,98,6,BR,118,0,A,2.985954997,posLeft,q,top,Negative,Explicit
1035,114,1,A,11,16,85,41,58,lrg_TO,28,0,B,2.672698518,posLeft,p,top,Negative,Explicit
1036,114,1,A,12,3,18,12,9,BL,102,0,B,7.259508782,posRight,q,top,Negative,Explicit
1037,114,1,A,13,55,43,80,19,lrg_TO,45,0,A,5.65200677,posRight,p,top,Negative,Explicit
1038,114,1,A,14,8,16,17,7,BL,109,0,B,7.724841222,posLeft,p,top,Negative,Explicit
1039,114,1,A,15,4,93,13,83,TL,98,0,B,3.332303508,posLeft,p,top,Negative,Explicit
1040,114,1,A,16,2,18,11,8,BL,108,0,A,5.001146139,posLeft,q,top,Negative,Explicit
1041,114,1,A,1,49,53,74,26,lrg_TO,43,1,A,0.877960363,posRight,p,top,Negative,Explicit
1042,114,1,A,2,34,36,62,33,sml_prob_diff,64,1,A,1.18928211,posLeft,q,top,Negative,Explicit
1043,114,1,A,3,46,57,74,27,same_EV,54,1,A,1.073586958,posLeft,q,top,Negative,Explicit
1044,114,1,A,4,83,15,93,6,BR,115,1,B,1.908644907,posLeft,p,top,Negative,Explicit
1045,114,1,A,5,62,34,88,13,lrg_TO,49,1,A,0.879222373,posLeft,q,top,Negative,Explicit
1046,114,1,A,6,84,15,93,6,BR,116,1,B,1.098456387,posRight,q,top,Negative,Explicit
1047,114,1,A,7,35,32,64,58,dominated,128,1,B,0.961342141,posRight,q,top,Negative,Explicit
1048,114,1,A,8,6,99,16,85,TL,97,1,B,1.164020372,posRight,q,top,Negative,Explicit
1049,114,1,A,9,9,100,12,80,certainty,123,1,B,1.223198489,posRight,q,top,Negative,Explicit
1050,114,1,A,10,89,15,98,6,BR,118,1,A,1.239877427,posRight,p,top,Negative,Explicit
1051,114,1,A,11,16,85,41,58,lrg_TO,28,1,A,1.184825345,posRight,p,top,Negative,Explicit
1052,114,1,A,12,3,18,12,9,BL,102,1,B,1.371106372,posLeft,p,top,Negative,Explicit
1053,114,1,A,13,55,43,80,19,lrg_TO,45,1,A,0.944572823,posLeft,q,top,Negative,Explicit
1054,114,1,A,14,8,16,17,7,BL,109,1,A,1.044689821,posLeft,q,top,Negative,Explicit
1055,114,1,A,15,4,93,13,83,TL,98,1,B,1.364234835,posRight,q,top,Negative,Explicit
1056,114,1,A,16,2,18,11,8,BL,108,1,A,0.919059146,posLeft,q,top,Negative,Explicit
1057,114,1,A,17,41,2,64,2,sml_prob_diff,69,0,B,2.831215305,posLeft,p,top,Negative,Explicit
1058,114,1,A,18,44,57,74,27,lrg_TO,39,0,A,3.944798277,posLeft,q,top,Negative,Explicit
1059,114,1,A,19,35,39,63,10,same_EV,55,0,A,13.44644035,posLeft,q,top,Negative,Explicit
1060,114,1,A,20,4,34,31,8,same_EV,57,0,A,5.599836256,posRight,p,top,Negative,Explicit
1061,114,1,A,21,90,90,99,80,TR,82,0,A,3.78135892,posRight,p,top,Negative,Explicit
1062,114,1,A,22,47,81,76,51,same_EV,52,0,A,4.154702944,posRight,p,top,Negative,Explicit
1063,114,1,A,23,75,100,98,80,certainty,121,0,A,2.017463888,posLeft,q,top,Negative,Explicit
1064,114,1,A,24,36,18,33,46,sml_pay_diff,75,0,B,3.325332321,posLeft,p,top,Negative,Explicit
1065,114,1,A,25,20,16,43,15,sml_prob_diff,68,0,B,3.355570924,posLeft,p,top,Negative,Explicit
1066,114,1,A,26,3,92,12,87,TL,96,0,B,3.207333303,posRight,q,top,Negative,Explicit
1067,114,1,A,27,34,68,60,41,lrg_TO,35,0,A,8.180107039,posLeft,q,top,Negative,Explicit
1068,114,1,A,28,9,91,12,87,sml_TO,2,0,A,4.985032656,posRight,p,top,Negative,Explicit
1069,114,1,A,29,23,79,30,70,sml_TO,7,0,A,6.653741869,posRight,p,top,Negative,Explicit
1070,114,1,A,30,10,86,40,58,same_EV,51,0,B,3.031789963,posRight,q,top,Negative,Explicit
1071,114,1,A,31,60,41,61,33,sml_TO,19,0,A,4.012802194,posLeft,q,top,Negative,Explicit
1072,114,1,A,32,60,44,61,38,sml_TO,16,0,A,3.855095849,posLeft,q,top,Negative,Explicit
1073,114,1,A,17,41,2,64,2,sml_prob_diff,69,1,B,1.182093415,posRight,q,top,Negative,Explicit
1074,114,1,A,18,44,57,74,27,lrg_TO,39,1,A,0.963296404,posLeft,q,top,Negative,Explicit
1075,114,1,A,19,35,39,63,10,same_EV,55,1,A,0.938552448,posRight,p,top,Negative,Explicit
1076,114,1,A,20,4,34,31,8,same_EV,57,1,A,0.759050592,posLeft,q,top,Negative,Explicit
1077,114,1,A,21,90,90,99,80,TR,82,1,B,1.065112085,posRight,q,top,Negative,Explicit
1078,114,1,A,22,47,81,76,51,same_EV,52,1,A,1.060987375,posRight,p,top,Negative,Explicit
1079,114,1,A,23,75,100,98,80,certainty,121,1,B,1.157694758,posLeft,p,top,Negative,Explicit
1080,114,1,A,24,36,18,33,46,sml_pay_diff,75,1,B,1.131211398,posRight,q,top,Negative,Explicit
1081,114,1,A,25,20,16,43,15,sml_prob_diff,68,1,B,1.547009908,posLeft,p,top,Negative,Explicit
1082,114,1,A,26,3,92,12,87,TL,96,1,A,0.803632486,posLeft,q,top,Negative,Explicit
1083,114,1,A,27,34,68,60,41,lrg_TO,35,1,A,1.01110616,posLeft,q,top,Negative,Explicit
1084,114,1,A,28,9,91,12,87,sml_TO,2,1,A,1.05332228,posRight,p,top,Negative,Explicit
1085,114,1,A,29,23,79,30,70,sml_TO,7,1,A,0.014825649,posLeft,q,top,Negative,Explicit
