,X.1,X,subjid,condition,order,age,sex,handedness,vision,major,number_exp_mpi,number_exp_external,gamble_studies,number_gamble_studies
2,1,1,110,1,A,28,f,rechts,Ja,Steuerfachangestellte,5,0,ja,3
4,2,2,111,1,A,19,f,rechts,Ja,Psychologie,4,15,ja,3
6,3,3,112,1,B,27,f,rechts,Ja (korrigiert),Theater- Film- und Medienwissenschaften,2,0,ja,2
8,4,4,113,1,B,31,f,rechts,Ja (korrigiert),Geschichte,2,10,ja,2
10,5,5,114,1,A,21,m,rechts,Ja,suchend,1,0,ja,1
12,6,6,115,1,A,26,f,rechts,Ja,Jura,0,1,nein,0
14,7,7,116,1,B,26,f,rechts,Ja,Angewandte Literaturwissenschaft,10,0,ja,3
16,8,8,117,1,B,27,f,links,Ja,Jura,10,40,ja,15
18,9,9,118,1,A,39,m,rechts,Ja,Nachhilfelehrer,3,30,ja,2
20,10,10,119,1,A,25,f,rechts,Ja,MA Osteuropastudien,3,NA,ja,5
22,11,11,120,1,B,21,m,rechts,Ja,iNDUSTRIEMECHANIKER,0,0,nein,0
24,12,12,121,1,B,22,m,rechts,Ja,studium umweltinformatik,20,60,ja,10
26,13,13,122,1,A,37,f,rechts,Ja,erzieher,0,0,nein,0
28,14,14,123,1,A,22,f,rechts,Ja (korrigiert),Kommunikation,2,2,ja,2
30,15,15,124,1,B,27,m,rechts,Ja,Fahrdienstleiter,6,10,ja,1
32,16,16,126,1,A,28,m,rechts,Ja,Lebensmitteltechnologie/Koch,8,0,ja,2
34,17,17,127,1,A,26,f,rechts,Ja,Jura,0,15,ja,5
36,18,18,128,1,B,26,f,rechts,Ja,Studentin,5,0,ja,4
38,19,19,130,1,A,21,m,rechts,Ja,Informatik,6,0,ja,4
40,20,20,132,1,B,31,f,rechts,Ja (korrigiert),Kunstgeschichte,5,20,ja,3
42,21,21,133,1,B,21,m,rechts,Ja,Geowissenschaften,5,20,ja,8
44,22,22,134,1,A,29,f,rechts,Ja (korrigiert),IT-Assistenz,6,25,nein,0
46,23,23,135,1,A,32,f,rechts,Ja,Erzieherin,2,20,nein,0
48,24,24,136,1,B,27,f,rechts,Ja,Lehrerin,6,0,ja,3
50,25,25,137,1,B,26,m,rechts,Ja,Franzoesisch/Englisch,0,0,nein,0
52,26,26,138,1,A,29,f,rechts,Ja (korrigiert),Kundenservice,2,0,ja,1
54,27,27,139,1,A,35,m,rechts,Ja,Ewi,50,8,ja,30
56,28,28,140,1,B,28,f,rechts,Ja (korrigiert),Rechtswissenschaft,6,0,ja,1
58,29,29,141,1,B,20,f,rechts,Ja,Physiotherapie (Bc.S.),3,0,nein,0
60,30,30,142,1,A,21,f,rechts,Ja,VWL,NA,NA,ja,NA
62,31,31,143,1,A,27,m,rechts,Ja (korrigiert),Wirtschaftskommunikation,10,NA,ja,2
64,32,32,144,1,B,28,m,links,Ja,Jura,10,0,ja,4
66,33,33,145,1,B,21,m,rechts,Ja,Biologie (Studium),2,0,ja,2
68,34,34,146,1,A,27,m,rechts,Ja,Psychologie,1,10,ja,1
70,35,35,147,1,A,24,f,rechts,Ja (korrigiert),Projektmanagerin,50,0,ja,5
72,36,36,148,1,B,28,f,rechts,Ja (korrigiert),Arzt,3,5,nein,0
74,37,37,150,1,A,26,f,rechts,Ja,Journalist,6,8,ja,2
76,38,38,151,1,A,32,f,rechts,Ja (korrigiert),Gesundheits und Krankenpflegerin,0,3,ja,3
78,39,39,153,1,B,22,m,rechts,Ja,Master Maschinenbau,1,1,nein,0
80,40,40,155,1,A,31,f,rechts,Ja,Sprachwissenschaft,0,30,ja,20
82,41,41,156,1,B,24,f,rechts,Ja (korrigiert),Psychologie,5,0,ja,2
84,42,42,157,1,B,18,m,rechts,Ja,nebenjob,5,0,ja,3
86,43,43,158,1,A,35,f,rechts,Ja,Flugbegleiterin,0,0,nein,0
88,44,44,159,1,A,31,f,rechts,Ja,Chemikerin,6,0,ja,4
90,45,45,160,1,B,24,m,rechts,Ja,Medienkauffrau Digital und Print,20,0,ja,5
92,46,46,161,1,B,24,f,rechts,Ja,Psychologie,0,10,nein,10
94,47,47,162,1,A,26,m,rechts,Ja,Elektrotechnik,1,3,ja,2
96,49,49,164,1,B,30,f,rechts,Ja,Personalentwicklung,5,3,ja,3
98,50,50,165,1,B,27,f,rechts,Ja (korrigiert),Politik,0,1,nein,0
100,51,51,166,1,A,20,m,rechts,Ja,Lehramt Chemie und Biologie Gymnasium,0,1,ja,0
102,52,52,167,1,A,22,f,rechts,Ja (korrigiert),NA,0,0,nein,0
104,53,53,168,1,B,21,f,rechts,Ja (korrigiert),Agrarwissenschaften,0,0,ja,0
106,54,54,170,1,A,23,m,rechts,Ja,Philosophie,20,0,ja,3
108,55,55,210,2,A,27,m,rechts,Ja,Geschichtswissenschaft,5,1,ja,3
110,56,56,211,1,A,18,f,rechts,Ja,Biowissenchaften,1,0,nein,0
112,57,57,212,2,B,25,f,rechts,Ja,Student,10,0,ja,8
114,58,58,213,2,B,28,f,rechts,Ja,Psychologie,3,0,ja,3
116,59,59,214,2,A,24,m,rechts,Ja,Politik/Mathe,10,15,ja,10
118,60,60,215,2,A,24,f,rechts,Ja,Soziale Arbeit,20,30,ja,2
120,61,61,216,2,B,24,f,rechts,Ja (korrigiert),Biologie,5,2,ja,1
122,62,62,217,2,B,24,m,rechts,Ja,Student Gartenbau,5,1,nein,0
124,63,63,218,2,A,39,f,rechts,Ja,Umschulung,2,0,ja,1
126,64,64,219,2,A,20,m,links,Ja,Geotechnologie,7,0,ja,4
128,65,65,220,2,B,24,m,rechts,Ja,bwl,5,0,ja,5
130,66,66,221,2,B,21,f,rechts,Ja,Geographie,5,0,ja,5
132,67,67,222,2,A,25,m,rechts,Ja,Philosophie,4,8,ja,3
134,69,69,224,2,B,36,f,rechts,Ja (korrigiert),Steuerrecht,8,20,ja,4
136,70,70,225,2,B,20,f,rechts,Ja,Japanologie,1,0,nein,NA
138,71,71,226,2,A,25,m,rechts,Ja,Psychologie,30,2,ja,5
140,72,72,228,2,B,32,f,rechts,Ja,sozialarbeiterin,10,0,ja,2
142,73,73,229,2,B,26,f,rechts,Ja,Umweltplanung,1,1,ja,1
